,PEP,Title,Authors,Python Version,Purpose,ChatGPT experiments
SA,458,Secure PyPI downloads with signed repository metadata,"Trishank Karthik Kuppusamy, Vladimir Diaz, Marina Moore, Lukas Puehringer, Joshua Lock, Lois Anne DeLong, Justin Cappos",,,
SA,563,Postponed Evaluation of Annotations,Łukasz Langa,3.7,,
SA,590,Vectorcall: a fast calling protocol for CPython,"Mark Shannon, Jeroen Demeyer",3.8,,
SA,625,Filename of a Source Distribution,"Tzu-ping Chung, Paul Moore",,,
SA,649,Deferred Evaluation Of Annotations Using Descriptors,Larry Hastings,3.14,,
SA,658,Serve Distribution Metadata in the Simple Repository API,Tzu-ping Chung,,,
SA,667,Consistent views of namespaces,"Mark Shannon, Tian Gao",3.13,,
SA,668,Marking Python base environments as “externally managed”,"Geoffrey Thomas, Matthias Klose, Filipe Laíns, Donald Stufft, Tzu-ping Chung, Stefano Rivera, Elana Hashman, Pradyun Gedam",,,
SA,685,Comparison of extra names for optional distribution dependencies,Brett Cannon,,,
SA,686,Make UTF-8 mode default,Inada Naoki,3.15,,
SA,687,Isolating modules in the standard library,"Erlend Egeberg Aasland, Petr Viktorin",3.12,,
SA,691,JSON-based Simple API for Python Package Indexes,"Donald Stufft, Pradyun Gedam, Cooper Lees, Dustin Ingram",,,
SA,696,Type Defaults for Type Parameters,James Hilton-Balfe,3.13,,
SA,699,Remove private dict version field added in PEP 509,Ken Jin,3.12,,
SA,701,Syntactic formalization of f-strings,"Pablo Galindo, Batuhan Taskaya, Lysandros Nikolaou, Marta Gómez Macías",3.12,,
SA,702,Marking deprecations using the type system,Jelle Zijlstra,3.13,,
SA,703,Making the Global Interpreter Lock Optional in CPython,Sam Gross,3.13,,
SA,705,TypedDict: Read-only items,Alice Purcell,3.13,,
SA,714,Rename dist-info-metadata in the Simple API,Donald Stufft,,,
SA,738,Adding Android as a supported platform,Malcolm Smith,3.13,,
SA,742,Narrowing types with TypeIs,Jelle Zijlstra,3.13,,
