,PEP,Title,Authors,Python Version,Purpose,ChatGPT experiments
SD,213,Attribute Access Handlers,Paul Prescod,2.1,,
SD,219,Stackless Python,Gordon McMillan,2.1,,
SD,222,Web Library Enhancements,A.M. Kuchling,2.1,,
SD,233,Python Online Help,Paul Prescod,2.1,,
SD,267,Optimized Access to Module Namespaces,Jeremy Hylton,2.2,,
SD,269,Pgen Module for Python,Jonathan Riehl,2.2,,
SD,280,Optimizing access to globals,Guido van Rossum,2.3,,
SD,286,Enhanced Argument Tuples,Martin von Löwis,2.3,,
SD,312,Simple Implicit Lambda,"Roman Suzi, Alex Martelli",2.4,,
SD,316,Programming by Contract for Python,Terence Way,,,
SD,323,Copyable Iterators,Alex Martelli,2.5,,
SD,337,Logging Usage in the Standard Library,Michael P. Dubner,2.5,,
SD,368,Standard image protocol and class,Lino Mastrodomenico,"2.6, 3.0",,
SD,400,Deprecate codecs.StreamReader and codecs.StreamWriter,Victor Stinner,3.3,,
SD,403,General purpose decorator clause (aka “@in” clause),Alyssa Coghlan,3.4,,
PD,407,New release cycle and introducing long-term support versions,"Antoine Pitrou, Georg Brandl, Barry Warsaw",,,
SD,419,Protecting cleanup statements from interruptions,Paul Colomiets,3.3,,
ID,423,Naming conventions and recipes related to packaging,Benoit Bryon,,,
ID,444,Python Web3 Interface,"Chris McDonough, Armin Ronacher",,,
SD,447,Add __getdescriptor__ method to metaclass,Ronald Oussoren,,,
SD,491,The Wheel Binary Package Format 1.9,Daniel Holth,,,
SD,499,python -m foo should also bind ‘foo’ in sys.modules,"Cameron Simpson, Chris Angelico, Joseph Jevnik",3.1,,
SD,505,None-aware operators,"Mark E. Haase, Steve Dower",3.8,,
SD,532,A circuit breaking protocol and binary operators,"Alyssa Coghlan, Mark E. Haase",3.8,,
SD,533,Deterministic cleanup for iterators,Nathaniel J. Smith,,,
SD,534,Improved Errors for Missing Standard Library Modules,"Tomáš Orsava, Petr Viktorin, Alyssa Coghlan",,,
SD,535,Rich comparison chaining,Alyssa Coghlan,3.8,,
SD,547,Running extension modules using the -m option,"Marcel Plch, Petr Viktorin",3.7,,
SD,556,Threaded garbage collection,Antoine Pitrou,3.7,,
SD,568,Generator-sensitivity for Context Variables,Nathaniel J. Smith,3.8,,
SD,674,Disallow using macros as l-values,Victor Stinner,3.12,,
SD,734,Multiple Interpreters in the Stdlib,Eric Snow,3.13,,
SD,3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Phillip J. Eby,,,
SD,3143,Standard daemon process library,Ben Finney,3.x,,
SD,3150,Statement local namespaces (aka “given” clause),Alyssa Coghlan,3.4,,
