,PEP,Title,Authors,Python Version,Purpose,ChatGPT experiments
SF,100,Python Unicode Integration,Marc-André Lemburg,2,,
SF,201,Lockstep Iteration,Barry Warsaw,2,,
SF,202,List Comprehensions,Barry Warsaw,2,,
SF,203,Augmented Assignments,Thomas Wouters,2,,
SF,205,Weak References,"Fred L. Drake, Jr.",2.1,,
SF,207,Rich Comparisons,"Guido van Rossum, David Ascher",2.1,,
SF,208,Reworking the Coercion Model,"Neil Schemenauer, Marc-André Lemburg",2.1,,
SF,214,Extended Print Statement,Barry Warsaw,2,,
SF,217,Display Hook for Interactive Use,Moshe Zadka,2.1,,
SF,218,Adding a Built-In Set Object Type,"Greg Wilson, Raymond Hettinger",2.2,,
SF,221,Import As,Thomas Wouters,2,,
SF,223,Change the Meaning of x Escapes,Tim Peters,2,,
SF,227,Statically Nested Scopes,Jeremy Hylton,2.1,,
SF,229,Using Distutils to Build Python,A.M. Kuchling,2.1,,
SF,230,Warning Framework,Guido van Rossum,2.1,,
SF,232,Function Attributes,Barry Warsaw,2.1,,
SF,234,Iterators,"Ka-Ping Yee, Guido van Rossum",2.1,,
SF,235,Import on Case-Insensitive Platforms,Tim Peters,2.1,,
SF,236,Back to the __future__,Tim Peters,2.1,,
SF,237,Unifying Long Integers and Integers,"Moshe Zadka, Guido van Rossum",2.2,,
SF,238,Changing the Division Operator,"Moshe Zadka, Guido van Rossum",2.2,,
SF,250,Using site-packages on Windows,Paul Moore,2.2,,
SF,252,Making Types Look More Like Classes,Guido van Rossum,2.2,,
SF,253,Subtyping Built-in Types,Guido van Rossum,2.2,,
SF,255,Simple Generators,"Neil Schemenauer, Tim Peters, Magnus Lie Hetland",2.2,,
SF,260,Simplify xrange(),Guido van Rossum,2.2,,
SF,261,Support for “wide” Unicode characters,Paul Prescod,2.2,,
SF,263,Defining Python Source Code Encodings,"Marc-André Lemburg, Martin von Löwis",2.3,,
SF,264,Future statements in simulated shells,Michael Hudson,2.2,,
SF,273,Import Modules from Zip Archives,James C. Ahlstrom,2.3,,
SF,274,Dict Comprehensions,Barry Warsaw,"2.7, 3.0",,
SF,277,Unicode file name support for Windows NT,Neil Hodgson,2.3,,
SF,278,Universal Newline Support,Jack Jansen,2.3,,
SF,279,The enumerate() built-in function,Raymond Hettinger,2.3,,
SF,282,A Logging System,"Vinay Sajip, Trent Mick",2.3,,
SF,285,Adding a bool type,Guido van Rossum,2.3,,
SF,289,Generator Expressions,Raymond Hettinger,2.4,,
SF,292,Simpler String Substitutions,Barry Warsaw,2.4,,
SF,293,Codec Error Handling Callbacks,Walter Dörwald,2.3,,
SF,301,Package Index and Metadata for Distutils,Richard Jones,2.3,,
SF,302,New Import Hooks,"Just van Rossum, Paul Moore",2.3,,
SF,305,CSV File API,"Kevin Altis, Dave Cole, Andrew McNamara, Skip Montanaro, Cliff Wells",2.3,,
SF,307,Extensions to the pickle protocol,"Guido van Rossum, Tim Peters",2.3,,
