,PEP,Title,Authors,Python Version,Purpose,ChatGPT experiments
IA,20,The Zen of Python,Tim Peters,,,
IA,101,Doing Python Releases 101 ,"Barry Warsaw, Guido van Rossum",,,
IF,247,API for Cryptographic Hash Functions,A.M. Kuchling,,,
IF,248,Python Database API Specification v1.0,"Greg Stein, Marc-André Lemburg",,,
IF,249,Python Database API Specification v2.0,Marc-André Lemburg,,,
IA,257,Docstring Conventions,"David Goodger, Guido van Rossum",,,
IF,272,API for Block Encryption Algorithms v1.0,A.M. Kuchling,,,
IA,287,reStructuredText Docstring Format,David Goodger,,,
IA,290,Code Migration and Modernization,Raymond Hettinger,,,
IF,291,Backward Compatibility for the Python 2 Standard Library,Neal Norwitz,2.3,,
IF,333,Python Web Server Gateway Interface v1.0,Phillip J. Eby,,,
IA,394,The “python” Command on Unix-Like Systems,"Kerrick Staley, Alyssa Coghlan, Barry Warsaw, Petr Viktorin, Miro Hrončok, Carol Willing",,,
IF,399,Pure Python/C Accelerator Module Compatibility Requirements,Brett Cannon,3.3,,
IF,430,Migrating to Python 3 as the default online documentation,Alyssa Coghlan,,,
IA,434,IDLE Enhancement Exception for All Branches,"Todd Rovito, Terry Reedy",,,
IF,452,API for Cryptographic Hash Functions v2.0,"A.M. Kuchling, Christian Heimes",,,
IF,457,Notation For Positional-Only Parameters,Larry Hastings,,,
IF,482,Literature Overview for Type Hints,Łukasz Langa,,,
IF,483,The Theory of Type Hints,"Guido van Rossum, Ivan Levkivskyi",,,
IA,514,Python registration in the Windows registry,Steve Dower,,,
IA,569,Python 3.8 Release Schedule,Łukasz Langa,3.8,,
IF,579,Refactoring C functions and methods,Jeroen Demeyer,,,
IA,596,Python 3.9 Release Schedule,Łukasz Langa,3.9,,
IF,607,Reducing CPython’s Feature Delivery Latency,"Łukasz Langa, Steve Dower, Alyssa Coghlan",3.9,,
IA,619,Python 3.10 Release Schedule,Pablo Galindo Salgado,3.10,,
IF,630,Isolating Extension Modules,Petr Viktorin,,,
IF,635,Structural Pattern Matching: Motivation and Rationale,"Tobias Kohn, Guido van Rossum",3.10,,
IF,636,Structural Pattern Matching: Tutorial,Daniel F Moisset,3.10,,
IA,664,Python 3.11 Release Schedule,Pablo Galindo Salgado,3.11,,
IA,672,Unicode-related Security Considerations for Python,Petr Viktorin,,,
IA,693,Python 3.12 Release Schedule,Thomas Wouters,3.12,,
IA,719,Python 3.13 Release Schedule,Thomas Wouters,3.13,,
IA,745,Python 3.14 Release Schedule,Hugo van Kemenade,3.14,,
IA,801,Reserved,Barry Warsaw,,,
IF,3333,Python Web Server Gateway Interface v1.0.1,Phillip J. Eby,,,
IF,8000,Python Language Governance Proposal Overview,Barry Warsaw,,,
IF,8002,Open Source Governance Survey,"Barry Warsaw, Łukasz Langa, Antoine Pitrou, Doug Hellmann, Carol Willing",,,
IA,8016,The Steering Council Model,"Nathaniel J. Smith, Donald Stufft",,,
IF,8100,January 2019 Steering Council election,"Nathaniel J. Smith, Ee Durbin",,,
IF,8101,2020 Term Steering Council election,"Ewa Jodlowska, Ee Durbin",,,
IF,8102,2021 Term Steering Council election,"Ewa Jodlowska, Ee Durbin, Joe Carey",,,
IF,8103,2022 Term Steering Council election,"Ewa Jodlowska, Ee Durbin, Joe Carey",,,
IF,8104,2023 Term Steering Council election,Ee Durbin,,,
IF,8105,2024 Term Steering Council election,Ee Durbin,,,
