,PEP,Title,Authors,Python Version,Purpose,ChatGPT experiments
S,467,Minor API improvements for binary sequences,"Alyssa Coghlan, Ethan Furman",3.13,,
S,480,Surviving a Compromise of PyPI: End-to-end signing of packages,"Trishank Karthik Kuppusamy, Vladimir Diaz, Justin Cappos, Marina Moore",,,
S,501,General purpose template literal strings,"Alyssa Coghlan, Nick Humrich",3.12,,
I,588,GitHub Issues Migration Plan,Mariatta,,,
S,603,Adding a frozenmap type to collections,Yury Selivanov,,,
S,638,Syntactic Macros,Mark Shannon,,,
S,639,Improving License Clarity with Better Package Metadata,"Philippe Ombredanne, C.A.M. Gerlach, Karolina Surma",,,
S,653,Precise Semantics for Pattern Matching,Mark Shannon,,,
I,659,Specializing Adaptive Interpreter,Mark Shannon,,,
S,661,Sentinel Values,Tal Einat,,,
S,671,Syntax for late-bound function argument defaults,Chris Angelico,3.12,,
S,679,Allow parentheses in assert statements,Pablo Galindo Salgado,3.12,,
S,694,Upload 2.0 API for Python Package Repositories,Donald Stufft,,,
S,710,Recording the provenance of installed packages,Fridolín Pokorný,,,
S,711,PyBI: a standard format for distributing Python Binaries,Nathaniel J. Smith,,,
S,718,Subscriptable functions,James Hilton-Balfe,3.13,,
I,720,Cross-compiling Python packages,Filipe Laíns,3.12,,
S,725,Specifying external dependencies in pyproject.toml,"Pradyun Gedam, Ralf Gommers",,,
S,727,Documentation in Annotated Metadata,Sebastián Ramírez,3.13,,
S,728,TypedDict with Typed Extra Items,Zixuan James Li,3.13,,
I,733,An Evaluation of Python’s Public C API,"Erlend Egeberg Aasland, Domenico Andreoli, Stefan Behnel, Carl Friedrich Bolz-Tereick, Simon Cross, Steve Dower, Tim Felgentreff, David Hewitt, Shantanu Jain, Wenzel Jakob, Irit Katriel, Marc-Andre Lemburg, Donghee Na, Karl Nelson, Ronald Oussoren, Antoine Pitrou, Neil Schemenauer, Mark Shannon, Stepan Sindelar, Gregory P. Smith, Eric Snow, Victor Stinner, Guido van Rossum, Petr Viktorin, Carol Willing, William Woodruff, David Woods, Jelle Zijlstra",,,
S,735,Dependency Groups in pyproject.toml,Stephen Rosen,,,
S,736,Shorthand syntax for keyword arguments at invocation,"Joshua Bambrick, Chris Angelico",3.14,,
S,739,Static description file for build details of Python installations,Filipe Laíns,3.13,,
S,741,Python Configuration C API,Victor Stinner,3.14,,
S,743,Add Py_COMPAT_API_VERSION to the Python C API,"Victor Stinner, Petr Viktorin",3.14,,
I,744,JIT Compilation,"Brandt Bucher, Savannah Ostrowski",3.13,,
S,746,Type checking Annotated metadata,Adrian Garcia Badaracco,3.14,,
S,747,TypeExpr: Type Hint for a Type Expression,David Foster,3.14,,
S,749,Implementing PEP 649,Jelle Zijlstra,3.14,,
S,750,Tag Strings For Writing Domain-Specific Languages,"Jim Baker, Guido van Rossum, Paul Everitt",3.14,,
S,751,A file format to list Python dependencies for installation reproducibility,Brett Cannon,,,
S,752,Package repository namespaces,Ofek Lev,,,
S,789,Preventing task-cancellation bugs by limiting yield in async generators,"Zac Hatfield-Dodds, Nathaniel J. Smith",3.14,,
P,2026,Calendar versioning for Python,Hugo van Kemenade,3.26,,
