description,title,code_block,python_version
"Writing Context Managers

Under the hood, the ‘with‘ statement is fairly complicated. Most
people will only use ‘with‘ in company with existing objects and
don’t need to know these details, so you can skip the rest of this section if
you like.  Authors of new objects will need to understand the details of the
underlying implementation and should keep reading.
A high-level explanation of the context management protocol is:

The expression is evaluated and should result in an object called a “context
manager”.  The context manager must have __enter__() and __exit__()
methods.
The context manager’s __enter__() method is called.  The value returned
is assigned to VAR.  If no as VAR clause is present, the value is simply
discarded.
The code in BLOCK is executed.
If BLOCK raises an exception, the context manager’s __exit__() method
is called with three arguments, the exception details (type, value, traceback,
the same values returned by sys.exc_info(), which can also be None
if no exception occurred).  The method’s return value controls whether an exception
is re-raised: any false value re-raises the exception, and True will result
in suppressing it.  You’ll only rarely want to suppress the exception, because
if you do the author of the code containing the ‘with‘ statement will
never realize anything went wrong.
If BLOCK didn’t raise an exception,  the __exit__() method is still
called, but type, value, and traceback are all None.

Let’s think through an example.  I won’t present detailed code but will only
sketch the methods necessary for a database that supports transactions.
(For people unfamiliar with database terminology: a set of changes to the
database are grouped into a transaction.  Transactions can be either committed,
meaning that all the changes are written into the database, or rolled back,
meaning that the changes are all discarded and the database is unchanged.  See
any database textbook for more information.)
Let’s assume there’s an object representing a database connection. Our goal will
be to let the user write code like this:
db_connection = DatabaseConnection()
with db_connection as cursor:
    cursor.execute('insert into ...')
    cursor.execute('delete from ...')
    # ... more operations ...


The transaction should be committed if the code in the block runs flawlessly or
rolled back if there’s an exception. Here’s the basic interface for
DatabaseConnection that I’ll assume:
class DatabaseConnection:
    # Database interface
    def cursor(self):
        ""Returns a cursor object and starts a new transaction""
    def commit(self):
        ""Commits current transaction""
    def rollback(self):
        ""Rolls back current transaction""


The __enter__() method is pretty easy, having only to start a new
transaction.  For this application the resulting cursor object would be a useful
result, so the method will return it.  The user can then add as cursor to
their ‘with‘ statement to bind the cursor to a variable name.
class DatabaseConnection:
    ...
    def __enter__(self):
        # Code to start a new transaction
        cursor = self.cursor()
        return cursor


The __exit__() method is the most complicated because it’s where most of
the work has to be done.  The method has to check if an exception occurred.  If
there was no exception, the transaction is committed.  The transaction is rolled
back if there was an exception.
In the code below, execution will just fall off the end of the function,
returning the default value of None.  None is false, so the exception
will be re-raised automatically.  If you wished, you could be more explicit and
add a return statement at the marked location.
class DatabaseConnection:
    ...
    def __exit__(self, type, value, tb):
        if tb is None:
            # No exception, so commit
            self.commit()
        else:
            # Exception occurred, so rollback.
            self.rollback()
            # return False",pep-343-the-with-statement - writing-context-managers,"db_connection = DatabaseConnection()
with db_connection as cursor:
    cursor.execute('insert into ...')
    cursor.execute('delete from ...')
    # ... more operations ...
",2.6
,pep-343-the-with-statement - writing-context-managers,"class DatabaseConnection:
    # Database interface
    def cursor(self):
        ""Returns a cursor object and starts a new transaction""
    def commit(self):
        ""Commits current transaction""
    def rollback(self):
        ""Rolls back current transaction""
",2.6
,pep-343-the-with-statement - writing-context-managers,"class DatabaseConnection:
    ...
    def __enter__(self):
        # Code to start a new transaction
        cursor = self.cursor()
        return cursor
",2.6
,pep-343-the-with-statement - writing-context-managers,"class DatabaseConnection:
    ...
    def __exit__(self, type, value, tb):
        if tb is None:
            # No exception, so commit
            self.commit()
        else:
            # Exception occurred, so rollback.
            self.rollback()
            # return False
",2.6
"The contextlib module

The contextlib module provides some functions and a decorator that
are useful when writing objects for use with the ‘with‘ statement.
The decorator is called contextmanager(), and lets you write a single
generator function instead of defining a new class.  The generator should yield
exactly one value.  The code up to the yield will be executed as the
__enter__() method, and the value yielded will be the method’s return
value that will get bound to the variable in the ‘with‘ statement’s
as clause, if any.  The code after the yield will be
executed in the __exit__() method.  Any exception raised in the block will
be raised by the yield statement.
Using this decorator, our database example from the previous section
could be written as:
from contextlib import contextmanager

@contextmanager
def db_transaction(connection):
    cursor = connection.cursor()
    try:
        yield cursor
    except:
        connection.rollback()
        raise
    else:
        connection.commit()

db = DatabaseConnection()
with db_transaction(db) as cursor:
    ...


The contextlib module also has a nested(mgr1, mgr2, ...) function
that combines a number of context managers so you don’t need to write nested
‘with‘ statements.  In this example, the single ‘with‘
statement both starts a database transaction and acquires a thread lock:
lock = threading.Lock()
with nested (db_transaction(db), lock) as (cursor, locked):
    ...


Finally, the closing() function returns its argument so that it can be
bound to a variable, and calls the argument’s .close() method at the end
of the block.
import urllib, sys
from contextlib import closing

with closing(urllib.urlopen('http://www.yahoo.com')) as f:
    for line in f:
        sys.stdout.write(line)



See also

PEP 343 - The “with” statement
PEP written by Guido van Rossum and Nick Coghlan; implemented by Mike Bland,
Guido van Rossum, and Neal Norwitz.  The PEP shows the code generated for a
‘with‘ statement, which can be helpful in learning how the statement
works.

The documentation  for the contextlib module.",pep-343-the-with-statement - the-contextlib-module,"from contextlib import contextmanager

@contextmanager
def db_transaction(connection):
    cursor = connection.cursor()
    try:
        yield cursor
    except:
        connection.rollback()
        raise
    else:
        connection.commit()

db = DatabaseConnection()
with db_transaction(db) as cursor:
    ...
",2.6
,pep-343-the-with-statement - the-contextlib-module,"lock = threading.Lock()
with nested (db_transaction(db), lock) as (cursor, locked):
    ...
",2.6
,pep-343-the-with-statement - the-contextlib-module,"import urllib, sys
from contextlib import closing

with closing(urllib.urlopen('http://www.yahoo.com')) as f:
    for line in f:
        sys.stdout.write(line)
",2.6
"PEP 371: The multiprocessing Package

The new multiprocessing package lets Python programs create new
processes that will perform a computation and return a result to the
parent.  The parent and child processes can communicate using queues
and pipes, synchronize their operations using locks and semaphores,
and can share simple arrays of data.
The multiprocessing module started out as an exact emulation of
the threading module using processes instead of threads.  That
goal was discarded along the path to Python 2.6, but the general
approach of the module is still similar.  The fundamental class
is the Process, which is passed a callable object and
a collection of arguments.  The start() method
sets the callable running in a subprocess, after which you can call
the is_alive() method to check whether the subprocess is still running
and the join() method to wait for the process to exit.
Here’s a simple example where the subprocess will calculate a
factorial.  The function doing the calculation is written strangely so
that it takes significantly longer when the input argument is a
multiple of 4.
import time
from multiprocessing import Process, Queue


def factorial(queue, N):
    ""Compute a factorial.""
    # If N is a multiple of 4, this function will take much longer.
    if (N % 4) == 0:
        time.sleep(.05 * N/4)

    # Calculate the result
    fact = 1L
    for i in range(1, N+1):
        fact = fact * i

    # Put the result on the queue
    queue.put(fact)

if __name__ == '__main__':
    queue = Queue()

    N = 5

    p = Process(target=factorial, args=(queue, N))
    p.start()
    p.join()

    result = queue.get()
    print 'Factorial', N, '=', result


A Queue is used to communicate the input parameter N and
the result.  The Queue object is stored in a global variable.
The child process will use the value of the variable when the child
was created; because it’s a Queue, parent and child can use
the object to communicate.  (If the parent were to change the value of
the global variable, the child’s value would be unaffected, and vice
versa.)
Two other classes, Pool and Manager, provide
higher-level interfaces.  Pool will create a fixed number of
worker processes, and requests can then be distributed to the workers
by calling apply() or apply_async() to add a single request,
and map() or map_async() to add a number of
requests.  The following code uses a Pool to spread requests
across 5 worker processes and retrieve a list of results:
from multiprocessing import Pool

def factorial(N, dictionary):
    ""Compute a factorial.""
    ...
p = Pool(5)
result = p.map(factorial, range(1, 1000, 10))
for v in result:
    print v


This produces the following output:
1
39916800
51090942171709440000
8222838654177922817725562880000000
33452526613163807108170062053440751665152000000000
...


The other high-level interface, the Manager class, creates a
separate server process that can hold master copies of Python data
structures.  Other processes can then access and modify these data
structures using proxy objects.  The following example creates a
shared dictionary by calling the dict() method; the worker
processes then insert values into the dictionary.  (Locking is not
done for you automatically, which doesn’t matter in this example.
Manager‘s methods also include Lock(), RLock(),
and Semaphore() to create shared locks.)
import time
from multiprocessing import Pool, Manager

def factorial(N, dictionary):
    ""Compute a factorial.""
    # Calculate the result
    fact = 1L
    for i in range(1, N+1):
        fact = fact * i

    # Store result in dictionary
    dictionary[N] = fact

if __name__ == '__main__':
    p = Pool(5)
    mgr = Manager()
    d = mgr.dict()         # Create shared dictionary

    # Run tasks using the pool
    for N in range(1, 1000, 10):
        p.apply_async(factorial, (N, d))

    # Mark pool as closed -- no more tasks can be added.
    p.close()

    # Wait for tasks to exit
    p.join()

    # Output results
    for k, v in sorted(d.items()):
        print k, v


This will produce the output:
1 1
11 39916800
21 51090942171709440000
31 8222838654177922817725562880000000
41 33452526613163807108170062053440751665152000000000
51 15511187532873822802242430164693032110632597200169861120000...


See also
The documentation for the multiprocessing module.

PEP 371 - Addition of the multiprocessing package
PEP written by Jesse Noller and Richard Oudkerk;
implemented by Richard Oudkerk and Jesse Noller.",pep-371-the-multiprocessing-package,"import time
from multiprocessing import Process, Queue


def factorial(queue, N):
    ""Compute a factorial.""
    # If N is a multiple of 4, this function will take much longer.
    if (N % 4) == 0:
        time.sleep(.05 * N/4)

    # Calculate the result
    fact = 1L
    for i in range(1, N+1):
        fact = fact * i

    # Put the result on the queue
    queue.put(fact)

if __name__ == '__main__':
    queue = Queue()

    N = 5

    p = Process(target=factorial, args=(queue, N))
    p.start()
    p.join()

    result = queue.get()
    print 'Factorial', N, '=', result
",2.6
,pep-371-the-multiprocessing-package,"from multiprocessing import Pool

def factorial(N, dictionary):
    ""Compute a factorial.""
    ...
p = Pool(5)
result = p.map(factorial, range(1, 1000, 10))
for v in result:
    print v
",2.6
,pep-371-the-multiprocessing-package,"1
39916800
51090942171709440000
8222838654177922817725562880000000
33452526613163807108170062053440751665152000000000
...
",2.6
