code,name,what-it-does,why-is-this-bad,example,
506,use-of-random-module-for-secrets,"Checks for usage of the random module in unsafe scenarios like password generation or secrets, such as account authentication, tokens, and similar.","The pseudo-random generators in the random module should NOT be used for security purposes as it is cryptographically insecure. The secrets module should be used to reliably generate cryptographically strong pseudo-random values suitable for managing secrets, such as account authentication, tokens, and similar.","characters = string.ascii_letters + string.punctuation  + string.digits
password =  """".join(random.choice(characters) for x in range(16))

Use instead:

characters = string.ascii_letters + string.punctuation  + string.digits
password =  """".join(secrets.choice(characters) for x in range(16))",
557,dataclasses-not-used,Checks for cases where dataclasses can be used to simplify a custom class code,Creation of a custom class for a scenario that can be handled by dataclasses leads to unecessary duplication of code negatively affecting maintainability.,"class Point:
    def __init__(self, x, y):
        self.x = x
        self.y = y

    def __repr__(self):
        return f""Point(x={self.x}, y={self.y})""

Use instead:

from dataclasses import dataclass

@dataclass
class Point:
    x: int
    y: int",
655,use-requirement-markings-for-typed-dict,Checks for cases where required or not required markings can be used to simplify TypedDict classes.,Creation of multiple subclasses to accomodate optional keys in TypedDict with a base class containing required keys leads to inefficient design and duplicated code that negatively impacts maintainability.,"class _MovieBase(TypedDict):  # implicitly total=True
    title: str

class Movie(_MovieBase, total=False):
    year: int

Use instead:

class Movie(TypedDict):
    title: str
    year: NotRequired[int]",
634,use-structural-pattern-matching,Checks for cases where structural pattern matching can be used to simplify branching.,Having a complex if-else branching structure can lead to inefficient and unreadable code. Replacing it with an equivalent structural pattern matching or switch-case style structure can lead to more readable and efficient branching code.,"def handle_response(response):
    if isinstance(response, dict):
        if ""error"" in response:
            print(f""Error: {response['error']}"")
        elif ""data"" in response:
            print(f""Data: {response['data']}"")
        else:
            print(""Unknown response format"")
    elif isinstance(response, list):
        print(""List of items:"", response)
    else:
        print(""Invalid response type"")

Use instead:

def handle_response(response):
    match response:
        case {""error"": error_message}:
            print(f""Error: {error_message}"")
        case {""data"": data_content}:
            print(f""Data: {data_content}"")
        case list(items):
            print(""List of items:"", items)
        case _:
            print(""Invalid response type"")",
614,Relaxed Decorator Grammar,"Allows arbitrary expressions in decorator syntax, not just names, attribute references, or calls","temporary function or variable to use complex expressions as decorators, make code more verbose","def create_decorator(condition):
    return decorator_a if condition else decorator_b
decorator = create_decorator(some_condition)

@decorator
def func():
    pass

Use instead:

@(decorator_a if some_condition else decorator_b)
def func():
    pass


OR

@lambda func: timed(threshold=0.5)(func)
def heavy_calculation():

Use instead

ime_check = lambda func: timed(threshold=0.5)(func)
@time_check
def heavy_calculation():",
616,String Prefix/Suffix Removal,Replaces manual slicing with dedicated methods,Manual slicing patterns are error-prone and obscure intent,"if s.startswith(prefix): s = s[len(prefix):]

Use instead:

s = s.removeprefix(prefix)

OR

s[:-len(suffix)]

Use instead:

s.removesuffix(suffix)",
584,Dictionary Union Operator,"Introduces | and |= operators for a more concise and intuitive syntax that mirrors set operations, providing a consistent and clear way to merge dictionaries.","Using dictionary unpacking ({**dict1, **dict2}), is verbose and creates a new dictionary each time, whereas using dict.update() modifies a dictionary in-place and returns None. Both methods pos challenges for readability and functional programming practices. ","d1 = {'a': 1, 'b': 2}
d2 = {'c': 3, 'd': 4}
merged = d1.copy()  
merged.update(d2)
d1 = {'a': 1, 'b': 2}
d2 = {'c': 3, 'd': 4}
merged = {**d1, **d2}
d1 = {'a': 1, 'b': 2}
d2 = {'c': 3, 'd': 4}
merged = dict(list(d1.items()) + list(d2.items()))

Use instead:

d1 = {'a': 1, 'b': 2}
d2 = {'c': 3, 'd': 4}
merged = d1 | d2

d1 = {'a': 1, 'b': 2}
d2 = {'c': 3, 'd': 4}
d1 |= d2  # d1 is now {'a': 1, 'b': 2, 'c': 3, 'd': 4}




",
593,Type Metadata Annotation,"Allows adding context-specific metadata to type annotations without affecting the runtime type checker behavior, while Annotated provides a more structured way to include metadata, it doesn't automatically replace all comment-based annotations.","Manual metadata tracking via comments/custom classes and using custom container types or comment-based approaches for additional type metadata makes code harder to understand and maintain, is error-prone and couldn't capture complex metadata structures effectively","# Using comments or custom attributes for metadata
from typing import List

def process_data(data: List[int]):
    
    pass

Use instead:

from typing import Annotated, List

def process_data(data: List[Annotated[int, ""non-negative""]]):
    pass
",
570,Positional-Only Args,"Enforces API clarity with / syntax: positional-only enforcement restricts parameters to positional use only, aligning with Python’s built-in functions (e.g., len(obj) cannot be called as len(obj=...)), improving stability, and clarifying design intent.","Without the / syntax, users can call the function with keyword arguments (e.g., parse(format=""json"", data={...})), violating the intended parameter-order semantics. This allows mixed positional/keyword parameter usage, which creates API unpredictability and maintenance risks.","def compute_area(width, height):
    return width * height

area = compute_area(width=5, height=10)
print(""Area:"", area)

Use instead:

def compute_area(width, height, /):
    return width * height

area = compute_area(5, 10)
print(""Area:"", area)",
567,Context-Aware Variables,"introduces context variables that allow managing context-local state in a way that works well with asynchronous code, replacing or supplementing thread-local storage.","thread-local state does not propagate correctly across asynchronous tasks, leading to unexpected behavior and bugs. Violations occur when code continues to use thread-local variables instead of leveraging context variables,","import threading

_thread_local = threading.local()

def set_context(value):
    _thread_local.value = value

def get_context():
    return getattr(_thread_local, 'value', None)

Use instead:

# With PEP567: Using ContextVar for proper context-local state in asynchronous environments
from contextvars import ContextVar

context_var = ContextVar('value')

def set_context(value):
    context_var.set(value)

def get_context():
    return context_var.get()
",
530,Async Comprehension Optimization,Detects manual async loops that could be replaced with async for comprehensions,"Manual async loops using async for with append() obscure intent, create performance overhead by generating intermediate objects, risk improper await handling, and bypass Python 3.6+ async iterator protocols.","result = []
async for i in aiter():
if i % 2:
result.append(i)

Use instead:

result = [i async for i in aiter() if i % 2]",
